Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","10n","C_0603_1608Metric",115.062000,-43.942000,0.000000,top
"C2","100n","C_0603_1608Metric",105.740200,-70.002400,-90.000000,top
"C3","22u","C_1206_3216Metric",121.239280,-73.914000,180.000000,top
"C4","22u","C_1206_3216Metric",121.254520,-76.464160,180.000000,top
"C5","22u","C_1206_3216Metric",121.257060,-78.999080,180.000000,top
"C6","22u","C_1206_3216Metric",121.231660,-81.551780,180.000000,top
"C7","10u","C_1206_3216Metric",96.647000,-89.154000,0.000000,top
"C8","10u","C_1206_3216Metric",96.583500,-86.741000,0.000000,top
"C9","220u","CP_Elec_10x10.5",98.298000,-66.243200,0.000000,top
"C10","10u","C_1206_3216Metric",99.745800,-74.206100,90.000000,top
"C11","10u","C_1206_3216Metric",102.108000,-74.206100,90.000000,top
"C12","100n","C_0603_1608Metric",104.521000,-74.485500,90.000000,top
"C13","1n","C_0805_2012Metric",115.951000,-77.216000,0.000000,top
"C14","10p","C_0805_2012Metric",110.744000,-81.117440,-90.000000,top
"C15","10n","C_0603_1608Metric",108.066840,-81.015840,-90.000000,top
"C16","100n","C_0603_1608Metric",107.861100,-89.608660,180.000000,top
"C17","22u","C_1206_3216Metric",122.077480,-94.335600,180.000000,top
"C18","22u","C_1206_3216Metric",122.095260,-97.017840,180.000000,top
"C19","22u","C_1206_3216Metric",122.112300,-99.689920,180.000000,top
"C20","22u","C_1206_3216Metric",122.110500,-102.306120,180.000000,top
"C21","10u","C_1206_3216Metric",102.997000,-88.265000,180.000000,top
"C22","10u","C_1206_3216Metric",106.426000,-85.852000,0.000000,top
"C23","100n","C_0603_1608Metric",105.918000,-83.820000,0.000000,top
"C24","1n","C_0805_2012Metric",116.814600,-97.891600,0.000000,top
"C25","10p","C_0805_2012Metric",110.490000,-101.981000,-90.000000,top
"C26","10n","C_0603_1608Metric",108.574840,-102.108000,-90.000000,top
"C27","100n","C_0603_1608Metric",148.590000,-75.590400,180.000000,top
